customer_id,first_name,last_name,address,loyalty_tier,last_updated
1,Jennifer,Rose,"5913 Rodney Curve
New Justinview, AL 99025",Bronze,2026-03-01 20:42:05
2,Alexander,Scott,"67228 Davidson Extensions Apt. 460
Morrisville, PA 35006",Bronze,2026-04-05 23:24:23
3,Edwin,Neal,"118 Griffin Springs Apt. 487
Galvanbury, KY 50086",Silver,2026-04-20 12:17:01
4,Stephanie,Medina,"500 Johnson Hills
South Molly, NH 59482",Bronze,2026-02-09 05:53:44
5,Beth,Cruz,"22325 Hall Neck Suite 596
Lloydtown, CT 29530",Gold,2026-02-22 23:48:03
6,David,Hopkins,"8972 Walker Brooks Apt. 881
West Joshua, MH 45526",Gold,2026-01-27 23:43:19
7,Linda,Williams,"845 Roberts Spur Apt. 025
East Davidmouth, NH 38083",Gold,2026-04-11 19:55:38
8,Christopher,Zavala,"4782 Johnson Via Suite 065
East Jon, OK 99810",Silver,2026-01-24 05:47:59
9,Jacqueline,Barron,"64959 Hannah Field
Lisaton, SD 39914",Bronze,2026-03-20 18:49:13
10,Christopher,Evans,"4360 Hicks Island Suite 071
Monicamouth, PW 26049",Gold,2026-01-31 13:37:58
11,April,Brooks,"443 Cassandra Views Apt. 237
Lake Jeffreyshire, NH 83574",Bronze,2026-01-22 13:56:24
12,Jason,Ramirez,"901 Tina Circles
Port James, LA 91738",Gold,2026-03-14 03:52:33
13,Mark,Coleman,"246 Kayla Cape Suite 361
Roytown, IN 92932",Bronze,2026-02-06 02:08:57
14,Michael,Harrell,"23674 Morrison Parkways
Lake Nancy, TX 79421",Bronze,2026-01-25 16:37:15
15,Haley,Sosa,"107 Bartlett Isle
Floresberg, ME 34153",Bronze,2026-01-18 03:49:07
16,Sarah,Santana,"6985 Michael Ridge
Jeffreyville, RI 40719",Gold,2026-01-25 06:41:20
17,Elizabeth,Gray,"800 Angela Key
Jamiefort, AK 86114",Silver,2026-02-07 23:41:10
18,John,Boyer,"9395 Jasmine Underpass
New Cherylstad, MD 95733",Bronze,2026-04-24 18:37:39
19,Jeffrey,Perez,"206 Foster Plaza
West Josephmouth, AK 29893",Bronze,2026-01-13 14:12:48
20,Andrew,Edwards,"60665 Jeffrey Station Suite 077
Lake Jamesview, PW 71507",Silver,2026-01-15 07:35:34
21,Natalie,Farmer,"903 Miller Lights Apt. 162
Florestown, LA 81719",Bronze,2026-04-23 01:33:53
22,Lori,Mosley,"38742 Kristen Street
Farmerton, TX 35300",Bronze,2026-01-15 07:51:10
